net,length_um
result[12],6.45
net120,6.44
result[29],6.43
_0231_,6.42
_0390_,6.42
net71,6.42
net87,6.42
net92,6.42
_0434_,6.4
rf_inst.registers\[30\]\[27\],6.4
_0040_,6.37
_0003_,6.36
rf_inst.registers\[30\]\[5\],6.36
_0212_,6.3
_0337_,6.3
_0363_,6.3
_0850_,6.3
_0880_,6.3
_0924_,6.3
net105,6.3
net138,6.3
_0374_,6.26
_0499_,6.26
_0856_,6.26
result[16],6.21
_0830_,6.2
_0805_,6.18
_0857_,6.14
_0935_,6.14
rf_inst.registers\[30\]\[31\],6.06
rf_inst.registers\[30\]\[7\],6.06
_0633_,6.04
_0406_,5.98
rf_inst.registers\[30\]\[13\],5.94
_0190_,5.92
_0026_,5.91
_0048_,5.91
_0070_,5.91
_0106_,5.91
_0122_,5.91
_0440_,5.84
_0685_,5.84
rf_inst.registers\[30\]\[3\],5.84
_0863_,5.8
_0876_,5.8
imem_inst.pc\[1\],5.8
result[17],5.77
result[0],5.75
result[10],5.75
result[11],5.75
_0801_,5.74
_0943_,5.74
_0252_,5.72
_0768_,5.72
_0778_,5.72
_0790_,5.72
net54,5.72
_0859_,5.68
_0869_,5.68
_0903_,5.68
rf_inst.registers\[25\]\[23\],5.68
net99,5.62
_0152_,5.6
_0251_,5.6
_0447_,5.6
net103,5.58
result[15],5.53
result[20],5.53
result[21],5.53
_0205_,5.5
_0061_,5.48
_0131_,5.46
_0065_,5.43
result[28],5.41
result[3],5.41
result[4],5.41
result[6],5.41
result[7],5.41
result[9],5.41
net77,5.4
_0424_,5.38
_0735_,5.38
_0896_,5.38
_0918_,5.38
_0109_,5.36
_0648_,5.34
_0882_,5.34
_0050_,5.33
_0298_,5.28
_0787_,5.28
_0938_,5.28
_0549_,5.26
_0898_,5.26
_0976_,5.26
net39,5.26
net53,5.26
_0172_,5.24
_0855_,5.22
_0870_,5.22
_0878_,5.22
_0892_,5.22
_0894_,5.22
_0897_,5.22
_0899_,5.22
_0914_,5.22
_0915_,5.22
_0916_,5.22
_0929_,5.22
_0940_,5.22
result[14],5.19
net95,5.16
net81,5.14
net113,5.12
result[2],5.07
result[30],5.07
result[5],5.07
result[8],5.07
net86,5.06
_0151_,5.04
_0216_,5.04
_0234_,5.04
_0746_,5.04
_0060_,5.02
_0302_,5.02
rf_inst.registers\[25\]\[28\],5.02
_0017_,4.97
net63,4.94
_0159_,4.92
_0525_,4.92
_0739_,4.92
_0833_,4.92
net145,4.92
_0370_,4.9
_0396_,4.9
_0134_,4.88
_0176_,4.88
_0721_,4.88
_0747_,4.88
_0887_,4.88
_0902_,4.88
_0913_,4.88
_0114_,4.87
result[13],4.85
_0941_,4.82
_0004_,4.8
_0227_,4.8
_0286_,4.8
_0412_,4.8
_0629_,4.8
_0643_,4.8
_0727_,4.8
net78,4.8
net89,4.8
net129,4.8
_0358_,4.76
_0595_,4.76
_0088_,4.73
_0684_,4.7
net102,4.7
net122,4.7
_0110_,4.68
_0419_,4.68
_0427_,4.68
_0816_,4.66
_0837_,4.66
_0081_,4.61
_0121_,4.61
_0602_,4.6
_0864_,4.6
net137,4.6
net141,4.6
_0194_,4.58
_0246_,4.58
